Subject,Label
26944,toneel
237556,gezichtsbeharing
29568,brillen
24975,bier
25518,dierenverzorging
25042,brandblussers
27813,voorlichting
26675,schippers
27837,verpleegkundigen
26650,revalidatie
25036,boulevards
27977,badplaatsen
28215,kerken
26771,speedway
28826,koeien
25239,opleidingen
28940,speurhonden
28510,curiosa
27822,vogels
28020,wetgeving
26005,jagers
29039,trucage
27575,legitimatiebewijzen
26069,kindertehuizen
29234,radiostudio's
26240,mausoleums
26173,liederen
28065,zomer
25651,examens
26154,leeuwen
25542,dompteurs
27758,motorfietsen
28129,rubber
28463,hout
25039,bowling
27797,vissersschepen
28293,herfst
231359,natuurijs
26223,marathonschaatsen
25213,rolschaatsen
27770,mannen
27210,veldlopen
26182,logo's
25027,booreilanden
26385,noodlandingen
29992,rampenoefeningen
26368,natuur
28098,sleeën
25841,haringen
28084,waterskiën
26662,schansspringen
25054,bruiloften
28331,gezelschapsspelen
27848,verjaardagen
28761,warenonderzoek
26070,kinderwagens
26320,molenaars
26304,miniaturen
26196,luchtverkeersleiders
27230,verkeerstorens
26371,navigatie
25317,achterstandsbuurten
25387,armoede
29811,stadsverkeer
27423,woonwijken
28057,herstellingsoorden
28321,geboorten
28441,kassen
28276,brandstoffen
25079,cameralieden
25434,ballonvaart
26864,studentenverenigingen
27788,melk
27832,turf
27206,veenkoloniën
27418,woningnood
26386,noodwoningen
26523,plaggenhutten
28356,kaas
29797,paard-en-wagen
26021,kaasmakerijen
26022,kaasmarkten
25507,diamantindustrie
28010,belastingen
25284,bioscopen
27804,vestingen
26647,restauraties
27835,verdedigingswerken
25452,containers
25569,drukkerijen
25060,bulldozers
27923,stuwdammen
28519,caissons
25179,water
28135,rivieren
28154,staatsbezoeken
27825,varkens
27205,veemarkten
26691,schoonheidswedstrijden
27375,wereldtentoonstellingen
29640,kunstschilders
27876,beeldend kunstenaars
28147,schrijfmachines
28447,huisvesting
29445,winkelpersoneel
26272,metaalindustrie
27310,vredesbeweging
25510,dienstplicht
29670,schaapskudden
29989,goederentreinen
26128,kustvaarders
26870,suikerbieten
25811,griep
27266,virussen
27117,schoonmaken
28767,reinigingsapparatuur
28100,sloten
29020,scheepsongevallen
28678,accordeons
27962,bomen
27898,standbeelden
26773,speelplaatsen
28367,jeugdcriminaliteit
27787,meisjes
27824,vandalisme
27417,interieurs
25615,emigranten
27473,zionisme
25251,patiënten
24934,beeldhouwers
27971,beeldhouwkunst
27966,bedelaars
27735,munten
26543,politieagenten
25863,helmen
28580,film
28035,verkiezingen
29803,stemmen
25075,cadetten
27449,zeevaartscholen
29758,anticommunisme
28247,invasies
26637,rellen
29018,rijtoeren
27892,verkeer
27820,voetgangers
29052,rijstvelden
27128,plantages
28161,thee
25447,conserven
27816,vlootschouwen
27283,vlootoefeningen
28111,spoorwegovergangen
26938,tin
27775,marine
27070,valsemunterij
26308,misdaadpreventie
27245,vervalsingen
28439,kantoren
25168,artsen
25543,donors
25000,bloed
28943,lammeren
29042,verkeersveiligheid
25417,autosport
28324,gedenktekens
27947,schrijvers
28256,wethouders
25286,blinden
27849,verkeerslichten
26730,slapen
28267,acties
25302,boter
29987,melken
28681,voedselvoorziening
27874,kruisers
26616,reddingsbrigades
27381,werkloosheid
28003,jeugd
25195,ridderorden
29560,komieken
24976,bierbrouwerijen
27891,wedstrijden
26648,reuma
26872,supporters
27116,restaurants
25892,hondsdolheid
27309,vossen
28849,kuikens
29538,grensconflicten
28719,grenzen
29807,bijzondere vaartuigen
27351,waterfietsen
26802,staalindustrie
26940,toernooien
25196,ridders
29702,trampolinespringen
24962,beveiliging
27734,modelbouw
25563,dromen
27856,zeilschepen
27451,zeezeilen
27268,visafslag
25544,dooi
28089,weer
29986,praalwagens
25019,bollenvelden
25288,bloembollenteelt
25287,bloembollen
26977,tulpen
28241,zang
25280,baby's
27285,vluchtelingen
27173,locomotieven
25332,afval
29784,fascistengroet
29364,pleziervaartuigen
27857,zeilen
25514,dierenasielen
27226,verhuizingen
27958,boerderijen
26737,sloepen
25794,golf
26953,trainers
26703,schulden
28627,liefdadigheid
25803,graafmachines
27742,nationaalsocialisme
25769,gewichtheffen
25670,fans
28311,gemalen
27795,riet
25842,harmonieorkesten
27110,raffinaderijen
28062,zoutwinning
25028,boortorens
28068,zout
26745,smeden
25018,boetseren
25412,automatisering
25211,roken
27262,villa's
27501,ambtsaanvaardingen
28457,hoogleraren
27740,universiteiten
27162,landbouw
28793,kappers
25795,gorilla's
28699,vlaggen
29675,bioscooppersoneel
25376,aquaria
27025,duikers
25115,chimpansees
27022,marktkooplui
29614,culturele manifestaties
27178,lichamelijke opvoeding
27202,kleuters
25710,fotomodellen
26123,kunstvezels
25508,dichters
25418,autotests
25855,heien
27883,terrorisme
25350,ambassades
28058,gijzelingen
25371,apen
26338,mozaïeken
28595,diplomaten
27102,rechters
28577,fotografen
27121,politici
27890,mobilisatie
28515,burgerwacht
25911,houtsnijwerk
28136,roeiboten
29245,opvangcentra
27875,kunst
26910,telefonisten
26912,telefooncentrales
27823,verzet
27193,klokken
25083,caravans
28359,kamperen
25627,erewachten
25298,bommenwerpers
28146,schoorstenen
28295,hijskranen
26846,stoommachines
25527,directeuren
26603,recepties
28786,kaatsen
28851,kunstschaatsen
26754,sociale voorzieningen
27066,vakantiehuizen
26245,mechanisatie
25464,cricket
28284,gravures
28317,geschiedenis
25960,immigranten
26847,stormvloedkeringen
25809,grensbewaking
25550,douane
28291,graven
27703,begraafplaatsen
25818,groenvoorziening
28088,waterbouw
26811,stadsvernieuwing
28445,huishouding
28448,huisvrouwen
27165,leraren
24988,biologie
29290,gezinshereniging
27432,zand
28587,dorpen
26748,snackbars
26749,snacks
27437,zanghulde
28596,dirigenten
25426,bakfietsen
26400,oesters
29030,militaire vaartuigen
27811,volksmuziek
29932,mijnenvegers
25578,duivensport
26670,schietsport
29810,schieten
29535,dagelijks leven
26448,orang-oetans
28144,schilderkunst
25813,grimeren
25149,concentratiekampen
26544,politieke gevangenen
27337,walvisvaarders
25094,catamarans
25891,hondenrennen
27345,warenhuizen
25199,rietvlechters
25358,laboranten
26596,ratten
24953,bestrijdingsmiddelen
25923,huishoudelijke apparatuur
25922,huishoudbeurzen
28573,gamelan
25204,rijnaken
25834,handbal
25515,dierenbescherming
28360,kanalen
27200,kleding
26013,jongerencentra
28728,televisieprogramma's
27126,pontonbruggen
29550,dierenambulances
26609,reclame
25916,huiden
25127,circuits
27938,afbraak
27403,winkelcentra
25023,bont
26497,pelsdieren
28822,klompenmakers
26083,klompen
25664,ezels
26562,premières
28712,politieke partijen
29515,vliegen
28932,parachutespringen
27996,benzine
26406,oliecrises
27181,lijken
26466,ouderen
27827,veen
25659,explosies
29016,races
29698,speedbootracen
26426,ontgroening
27945,aluminium
28257,mijnen
25264,passagiersschepen
27301,volwassenenonderwijs
27915,taalonderwijs
28108,taal
29824,historische reconstructies
27484,zuivelindustrie
27368,wegenwachters
25396,asfalt
29242,wegenbouw
28434,kermissen
28408,medische keuringen
26701,schuilkelders
28131,ruïnes
26704,scooters
26856,stratenmakers
27769,machines
27221,verf
28019,protestantisme
26236,massagraven
25024,boodschappen
28059,zweefvliegtuigen
26334,motorboten
27261,vijvers
25591,eenden
27217,verbouwingen
25704,forellen
28545,cavalerie
29329,militaire parades
25643,etsen
25057,buitenlandse werknemers
27855,zeelieden
27726,eiken
27767,medailles
25129,clowns
27490,zwanen
28737,rioleringen
26404,oldtimers
29239,stadsbeelden
29639,schoolklassen
27887,regen
25975,infrastructuur
25652,executies
27445,zeeleeuwen
25540,dolfinaria
27335,walrussen
25539,dolfijnen
28229,industrie
27762,schilderen
29687,snelwandelen
28671,ambulances
28607,EHBO
25438,bananen
25641,etnische minderheden
28283,grotten
221986,aprilgrappen
28023,pers
27561,insecten
25278,aardappelen
28287,graffiti
25374,appels
28572,fruitteelt
25300,boomgaarden
26622,regisseurs
28496,componisten
24982,bijscholing
25157,artillerie
28162,tanks
28636,geologie
26707,seismologie
28575,gas
26975,tuinen
25754,generaals
28817,kleermakers
26478,papier
24998,blindengeleidehonden
25159,basisonderwijs
26456,orgels
28862,papegaaien
26522,plafonds
28297,hobby's
26347,muren
27399,wilde zwijnen
26496,pelikanen
28254,aardgas
28539,reizen
25296,bewaking
28603,elektronica
28750,lonen
29778,polsstokhoogspringen
29689,verspringen
28703,verlichting
28113,sportvliegtuigen
27838,versperringen
27792,metro's
26774,spelen
26008,jazz
26258,meeuwen
27323,vuilstortplaatsen
25954,ijszeilen
26615,reddingen
28261,munitie
28201,milieu
25765,gevaarlijke stoffen
25746,geluidshinder
25380,arbeidsomstandigheden
28453,hygiëne
25395,asbest
28332,gezondheid
25385,archieven
24971,bezuinigingen
29801,spandoeken
26865,studiefinanciering
25621,energiebesparing
28197,elektriciteitscentrales
26414,omroepers
28218,radio
25719,fysiotherapie
27493,zweefvliegen
28460,horeca
25348,amateurs
27951,ateliers
25487,decors
28163,tapijten
236364,spinnen (textiel)
28123,speelfilms
29789,werkopnamen
25858,heiligenbeelden
27080,nonnen
28312,geneeskunde
27120,poliklinieken
25589,edelsmeden
27989,beroepsonderwijs
28064,zilver
29712,verkeersregels
27289,vluchtstroken
27854,zebrapaden
225668,boetes
28278,groenten
28570,fruit
27328,vuurwapens
26927,theeplukkers
28455,honger
26591,radiozenders
28272,arbeid
24936,begijnhoven
28300,hofjes
28258,ziekenhuizen
28998,luchtafweergeschut
25881,hoefsmeden
27277,vliegtuigindustrie
28776,kippen
26060,kerstversieringen
28456,honkbal
25607,elektrische auto's
26956,transportbedrijven
27248,verzamelingen
28232,persconferenties
28436,keukens
25326,affiches
28489,infanterie
25113,chemische stoffen
28262,vervoer
223572,afvalverbranding
25579,duwvaart
28046,socialisme
26432,ontwapening
27326,vuur
27865,woonwagenkampen
29850,politiebureaus
27422,woonwagens
28306,hangars
29320,postzegels
25686,filatelie
28012,waterverontreiniging
27361,waterzuivering
27129,plattegronden
26820,stedenbouw
27212,vendelzwaaien
27300,volksverhalen
25955,ijzel
25517,dierenmishandeling
26700,schroot
28465,huisdieren
26962,tribunes
25435,bals
28097,slachtoffers
26560,potvissen
28918,jeu de boules
25519,diergeneeskunde
29193,vogelgriep
28014,ondernemingen
29371,vrachtwagenchauffeurs
25469,cursussen
26115,kunstacademies
26680,schoeisel
27954,blokkades
28731,abortussen
29767,verkiezingscampagnes
27766,matrozen
28971,bunkers
26443,opslagtanks
28357,kabelbanen
25726,gebeden
25217,rook
27447,zeep
27347,wasmiddelen
29065,ballet
26081,klokkengieterijen
26469,ovens
28260,hulpverlening
27657,vrijetijdsbesteding
27002,discuswerpen
26527,planten
29998,artistieke beroepen
28169,telecommunicatie
26557,postkantoren
27755,moskeeën
28363,islam
25647,evacués
25939,hyacinten
26383,nijlpaarden
28055,grammofoonplaten
29701,ritmische gymnastiek
27067,vakantiekampen
29808,bijzondere vliegtuigen
25479,dansers
26222,marathon
30068,autopeds
26867,stuntlieden
27072,variété
28133,rijtuigen
26548,pony's
28006,ambtenaren
28749,pensioenen
25802,gouverneurs
26594,rages
25636,etalages
28366,jeeps
28077,wegen
25150,concerten
27864,wintersport
26039,kantklossen
27076,paleizen
26281,microscopen
28806,kevers
27383,werkplaatsen
27349,wasserijen
27902,stoomtrams
27916,tandartsen
26893,tandheelkunde
26037,kano's
24979,bijen
25959,imkers
26747,smokkelen
29323,kinderziekenhuizen
26409,olifanten
26716,silo's
25104,cement
29780,drinkers
26694,schoonspringen
26229,marsmuziek
25679,festivals
25669,fanfares
29540,paalwoningen
26715,sigarenmakers
28092,sigaren
28506,diefstal
29102,zeemijnen
28968,vogeltrek
28224,moeders
28569,fregatten
27183,literatuur
26340,muggen
26027,kalenders
28522,camouflage
27167,loopgraven
29378,luchtvaartshows
27901,stoomschepen
28478,intochten
26546,polsstokverspringen
27910,suikerriet
27385,wervelstormen
29860,religieuze kunst
27060,bioscoopjournaals
29873,verkeersinformatie
28579,files
26887,tafeltennis
29101,landmijnen
25949,ijsbrekers
26980,tweelingen
29668,dierenverblijven
27680,natuurbeheer
25951,ijsdansen
26925,textiel
26105,krakers
26428,ontruimingen
27373,wereldrecords
28978,dubbelgangers
27774,marechaussees
29776,toverlantaarns
26192,luchtaanvallen
28860,kokosnoten
26203,machinefabrieken
25411,auto-industrie
26613,recycling
29238,straatbeelden
27395,wijkverpleging
27089,operaties
26104,kraamzorg
27803,verzorgingstehuizen
26127,kussen
28076,watermolens
28253,vrede
28738,waterleiding
26672,schildpadden
28454,huishoudelijk personeel
25817,groenteveilingen
26919,tenten
25041,braille
26089,knutselen
28582,flessen
26332,mosselen
26630,rekruten
26906,technische universiteiten
27458,zendmasten
25693,filosofie
25919,huifkarren
27853,wrakken
25702,fokkerijen
24999,blindeninstituten
27367,weeshuizen
25551,doveninstituten
223741,patates frites
25958,imitators
26592,radiotelescopen
27761,satellieten
29306,jeugdwerk
28160,schouwburgen
28990,kapsels
25304,bommen
28274,kernwapens
28497,computers
27363,weduwen
29250,arbeidsconflicten
26990,uitgeverijen
26042,kapellen
26991,uitkijktorens
28585,dokken
25683,fietsenstallingen
26484,parlementariërs
25384,archeologie
25034,botanische tuinen
25428,baksteenindustrie
27793,metselen
28038,joodse religie
25118,chocolade
25008,bloemsierkunst
28504,diamanten
29204,kleine mensen
28804,kersen
28611,edelstenen
27950,automaten
29990,kunstveilingen
25172,landschappen
25776,gieterijen
29695,dierentransport
26587,rabbijnen
28810,kikkers
29570,democratisering
27511,bezettingen
28446,huiskamers
27963,basketbal
26275,metselaars
26974,tuinders
27250,verzekeringsmaatschappijen
29724,oorlogsbeelden
25698,fluiten
28859,trompetten
26504,persfotografen
27810,volksliederen
28559,feestdagen
28051,postwezen
26055,kerncentrales
28450,hunebedden
25990,internaten
27339,wandelen
28637,kaarsen
26046,kardinalen
27341,wandtapijten
29249,landarbeiders
26286,midden- en kleinbedrijf
27290,voedingsleer
27271,vitamines
27786,meet- en weeginstrumenten
27798,dierproeven
27935,ambachten
27438,zangvogels
27732,oorlogsslachtoffers
25448,conserveringsmiddelen
24963,bevers
27274,vleeswaren
27004,kogelstoten
27088,opera's
28440,karren
25559,drenkelingen
25708,fossielen
28171,touw
25878,hittegolven
28093,sigaretten
28039,openbaar vervoer
29883,paardentrams
25033,boswachters
25082,cara
27013,skateboarden
26399,oecumene
25181,grondwater
28540,veiligheid
26035,kanker
26838,stieren
26857,streekvervoer
27392,wezen
213875,garagebedrijven
26862,struisvogels
27987,beroepen
25231,rupsen
29235,televisiestudio's
27829,verbandmiddelen
26770,speedboten
27103,processen
28385,waterkanonnen
25758,gerechtsgebouwen
26246,medezeggenschap
25277,cultuurbeleid
27799,vlees
25261,parken
28442,kastelen
28013,tuinbouw
27379,werkgelegenheid
28838,korfbal
25334,afvalverwerking
27617,reinigingsdiensten
25145,compost
26764,sparen
25601,eilanden
29201,dikke mensen
28282,grootouders
27927,animaties
28821,klokkenmakers
29848,plastics
25344,alleenstaanden
27012,speerwerpen
28796,karpers
26605,rechtbanken
25902,hoorzittingen
26369,natuurreservaten
26436,ooievaars
25574,duiksport
29009,picknicks
25414,autonomie
28464,houtbewerkers
27397,wijnbouw
25567,druiven
27745,mummies
26074,klassieke muziek
27264,violen
29175,vredestroepen
26836,stichtingen
26513,piano's
26031,kalveren
27222,vergaderingen
27130,platteland
28368,jeugdherbergen
29356,ophaalbruggen
28511,dammen
29178,waterbeheer
26481,parkeergarages
27920,krijgsmacht
25804,grafisch kunstenaars
25116,chirurgen
26297,military
28485,ijzererts
28501,delfstoffen
222881,vioolbouwers
29894,mijnopruiming
29895,bomdemontage
27239,verpakkingsmachines
27396,wijn
28243,gemeenteraden
28042,anarchisme
28101,sportverenigingen
212195,verkeersregelaars
28127,rookwaren
26274,meteorologie
27828,veeteelt
26137,landbouwonderwijs
28303,handenarbeid
29796,kunstwerken
25051,broedmachines
27402,windsurfen
29271,ontwikkelingslanden
26129,kustwacht
26457,orka's
28125,schrijfwaren
28304,handtekeningen
27888,mist
27109,wapens
28475,interneringskampen
28073,vrachtschepen
28320,gebak
29533,mergel
25250,parachutisten
25648,evangelisatie
28043,communisme
25762,getijden
26032,kamermuziek
29398,weven
29577,handen schudden
26894,tango
25162,voortgezet onderwijs
28789,kamelen
27439,zebra's
25106,champignons
27272,vleermuizen
27023,straatverkopers
26343,muizen
26532,pleeggezinnen
28132,rijst
26417,onderduikers
27859,wind
25045,brandpreventie
24939,beiaardiers
26525,planetaria
25982,instortingen
25016,boekdrukkunst
26559,pottenbakkers
28657,aardewerk
25782,glas-in-lood
29063,raketten
27819,voedselhulp
26096,koninklijke bezoeken
26542,polio
28347,gevangenissen
29044,vuurtorens
25124,chrysanten
26767,speciaal onderwijs
26934,tieners
25112,chemisch afval
25184,milieubeheer
27158,lampen
25363,antiek
26475,palingen
25336,akkerbouw
28028,missie
28354,juwelen
28118,snelwegen
28192,petities
28138,scheepsbouwkunde
26728,slangen
28656,keramiek
27146,prijsuitreikingen
25225,rubberboten
26656,saxofoons
28951,opgezette dieren
25846,hasj
27218,drugs
25870,herdershonden
27001,vaccinaties
26214,malaria
28516,cabaret
26016,judo
27256,video-apparatuur
26917,televisietoestellen
26593,radiotoestellen
25780,gitaren
28928,touwtrekken
28053,geluidsapparatuur
26450,orchideeën
29648,spelling
25197,rietdekkers
25721,ganzen
28349,gevels
26014,jongleurs
29800,sfeerbeelden
28461,horloges
25779,giraffes
27255,veulens
26455,orgeldraaiers
25713,frisdranken
26519,pinguïns
25948,ijsberen
28502,deportaties
26645,reservisten
26640,renbanen
25416,autosloperijen
27818,voedselbereiding
29439,wasmachines
25587,economie
26782,spionage
25441,conducteurs
28056,ziekten
29691,baanwielrennen
25242,opvoeding
27629,sociale werkvoorziening
28326,verstandelijk gehandicapten
28309,heide
28054,Jodenvervolging
28581,flatgebouwen
28865,uien
25333,afvallozingen
25322,administratief personeel
28880,huishoudonderwijs
26933,thuiswerk
26878,synagogen
26941,tolheffing
27160,lanceringen
29430,gereedschappen
29430,tools
28578,fietspaden
26136,landbouwcoöperaties
